id_dane;state;municipality;depto;mpio;y_total;SGP_total;pobl_tot;indrural;discapital;areaoficialkm2;pobreza;gini;pib_cons;pib_percapita_cons;pib_total;pib_agricola;ind_alfa;anos_est_mun;TMI;tpobc_FARC;tpobc_ELN;tpobc_DESC;tpobc_AUC;enfr_FARC;enfr_ELN;enfr_DESC;enfr_AUC;desmovilizados;desplazados_expulsion;desplazados_recepcion;polalgn_2011;margin_2011;sample_2011;polalgn_2015;margin_2015;sample_2015
5101;ANTIOQUIA;CIUDAD BOLIVAR;1;58;8995.4058165;4511.59046375;28313.5;0.42334348559379575;61.592681884765625;285;0.582099974155426;0.48899999260902405;299773.96875;10.801645851135254;307480.0796875;64448.66328125;84.16485595703125;6.7171220779418945;16.136;0;2;8;2;0;1;0;2;0;2586;1334;1;11.336844745422628;0;0;NA;0
5107;ANTIOQUIA;BRICENO;1;62;4688.8837317;3489.486006875;8774.1;0.7563399374485016;91.76888275146484;406;0.6299999952316284;0.5062000155448914;32129.77890625;4.122971916198731;30205.778515625;6788.39501953125;79.4239501953125;5.286245822906494;27.314;0;0;6;1;3;0;0;3;1;4114;1820;0;NA;0;0;NA;0
5113;ANTIOQUIA;BURITICA;1;61;3702.5674212;2786.139369;6956.3;0.7822967886924743;64.9544906616211;368;0.6299999952316284;0.5062000155448914;28386.503515625;4.553117799758911;32499.8619140625;9340.2076171875;71.63958740234375;5.192420482635498;24.712;8;0;3;1;3;0;0;3;0;6143;4030;0;NA;0;0;NA;0
5120;ANTIOQUIA;CACERES;1;64;10657.6432136;6373.983583125;28539.8;0.7869455635547637;153.96221923828125;1996;0.6299999952316284;0.5062000155448914;197145.83125;6.438009738922119;178507.3109375;31723.0103515625;73.52490997314453;5.941704750061035;25.294;0;3;10;3;0;1;0;1;19;7947;4686;0;-11.456646150523696;0;1;19.56;0
5125;ANTIOQUIA;CAICEDO;1;67;4148.3349445;2927.00566625;7646.5;0.8121304035186767;37.795284271240234;224;0.582099974155426;0.48899999260902405;34001.419140625;4.417138671875;41433.82265625;13954.8365234375;82.45942687988281;5.541530609130859;21.92;10;0;4;0;0;0;0;0;3;1805;472;0;-7.8240330676114525;1;0;NA;0
5129;ANTIOQUIA;CALDAS;1;70;15635.3166;6289.623057875;67401;0.22137270569801332;24.81896209716797;152;0.2824999988079071;0.4025000035762787;650706.0375;9.241854286193847;523578.59375;6714.512158203125;95.66893768310547;9.33333969116211;9.466000000000001;1;9;31;4;0;1;0;1;1;856;2441;1;2.6776454319746072;1;0;-1.4600000000000009;1
5134;ANTIOQUIA;CAMPAMENTO;1;73;5327.902567300001;3660.344319375;9695.9;0.7498270153999329;94.00106048583984;202;0.6299999952316284;0.5062000155448914;26826.808203125;3.6541133403778074;59724.26328125;31394.2732421875;74.903472900390625;5.475986480712891;23.342;11;1;7;2;4;0;0;5;8;2548;818;0;NA;0;0;NA;0
5138;ANTIOQUIA;CANASGORDAS;1;76;6314.3889687;4213.595571125;17029.6;0.6822340905666351;76.85686492919922;396;0.6299999952316284;0.5062000155448914;77672.9640625;4.952901840209961;91524.27421875;29191.74296875;82.3604965209961;6.489254474639893;27.7;20;0;5;3;0;0;0;1;1;4745;1433;0;NA;0;0;NA;0
5142;ANTIOQUIA;CARACOLI;1;78;3441.5549391;2033.372970625;4933.9;0.42097251713275907;99.32292175292969;263;0.6299999952316284;0.5062000155448914;58644.6484375;13.225638389587402;53714.10546875;5700.279443359375;87.454437255859375;7.176944732666016;17.654;1;0;1;0;0;0;0;1;2;565;321;1;2.669404517453799;1;0;NA;0
5145;ANTIOQUIA;CARAMANTA;1;79;3274.1691263000002;2234.0728405;5611.8;0.5352009892463684;81.27326202392578;87;0.582099974155426;0.48899999260902405;45543.18359375;8.695183181762696;48859.1765625;13476.11513671875;89.090911865234375;7.151907444000244;16.346;0;0;1;3;0;0;0;0;1;430;123;0;-24.292742927429273;0;0;NA;0
5147;ANTIOQUIA;CAREPA;1;80;12199.9635695;6638.50604975;42549.3;0.33355159163475034;204.09918212890625;384;0.6565999984741211;0.5135999917984009;253294.971875;5.479087066650391;363253.746875;148654.66484375;83.728424072265625;7.496015548706055;29.57;6;0;17;1;0;0;0;2;87;7968;13336;0;-7.4235807860262035;1;0;NA;0
5148;ANTIOQUIA;EL CARMEN DE VIBORAL;1;82;10374.6932965;5362.0367665;40874.3;0.4523850291967392;49.75696563720703;453;0.47049999237060547;0.4666999876499176;253606.89375;6.112178230285645;238468.859375;37410.1396484375;93.5362548828125;8.557745933532715;15.022;3;12;21;12;1;0;0;3;13;6348;5377;0;-3.3633571093872057;1;1;2.25;1
5150;ANTIOQUIA;CAROLINA;1;85;5011.006694600001;2198.59051475;4008;0.24280152022838591;65.42459869384766;168;0.6299999952316284;0.5062000155448914;34313.35703125;8.965592193603516;26005.7904296875;511.1842742919922;92.0611801147461;8.871119499206543;16.7;2;1;4;1;0;0;0;0;0;221;258;0;-6.547183613752743;1;0;NA;0
